fact_id,text
fact_date_date_12th_and_13th_centuries_1101_1300_in_the_12th_and_13th_centuries_houses_were_mostly_wooden_huts_about_two_storeys_high_with_one_room_shared_by_multiple_households,"In the 12th and 13th centuries, houses were mostly wooden huts about two storeys high with one room shared by multiple households."
fact_date_date_12th_and_13th_centuries_1101_1300_stone_houses_were_rare_in_the_12th_and_13th_centuries_and_explicitly_named_in_documents,Stone houses were rare in the 12th and 13th centuries and explicitly named in documents.
fact_date_date_1313_1313_1313_after_the_terrible_fire_of_1313_that_consumed_more_than_half_of_the_small_city_an_ordinance_was_issued_that_every_rebuilt_house_should_have_at_least_one_floor_masonry,"After the terrible fire of 1313 that consumed more than half of the small city, an ordinance was issued that every rebuilt house should have at least one floor masonry."
fact_place_place_zurichberg_zurich_switzerland_heim_and_imfeld_created_a_mountain_panorama_from_zurichberg,Heim and Imfeld created a mountain panorama from Zurichberg.
fact_place_place_zurichberg_zurich_switzerland_heim_alb_created_a_panorama_from_the_alcohol_free_spa_on_the_zurichberg_in_1901,"Heim, Alb. created a panorama from the alcohol-free spa on the Zurichberg in 1901."
fact_place_place_stadthausplatz_zurich_switzerland_heim_alb_created_a_mountain_view_from_stadthausplatz_bürkliplatz,"Heim, Alb. created a mountain view from Stadthausplatz (Bürkliplatz)."
fact_place_place_bürkliplatz_zurich_switzerland_heim_alb_created_a_mountain_view_from_bürkliplatz_stadthausplatz,"Heim, Alb. created a mountain view from Bürkliplatz (Stadthausplatz)."
fact_place_place_enge_park_zurich_switzerland_heim_alb_created_a_mountain_view_from_the_hill_in_the_enge_park,"Heim, Alb. created a mountain view from the hill in the Enge park."
fact_place_place_zurich_switzerland_city_map_published_by_the_municipal_surveying_office_consists_of_9_sheets_at_1_5000_scale,City map published by the municipal surveying office consists of 9 sheets at 1:5000 scale.
fact_place_place_zurich_switzerland_tourist_overview_map_at_1_15000_scale_1_75000_out_of_print_is_available,Tourist overview map at 1:15000 scale (1:75000 out of print) is available.
fact_place_place_zurich_switzerland_annual_report_of_the_city_council_for_1907_was_published_in_zurich_in_1908,Annual report of the city council for 1907 was published in Zurich in 1908.
fact_place_place_zurich_switzerland_commemorative_publication_for_the_50th_anniversary_of_the_polytechnic_was_published_in_zurich_in_1905,Commemorative publication for the 50th anniversary of the polytechnic was published in Zurich in 1905.
fact_place_place_zurich_switzerland_bär_e_wrote_about_the_women_s_monastery_st_verena_in_zurich_in_1902_03,"Bär, E. wrote about the women’s monastery St. Verena in Zurich in 1902/03."
fact_place_place_zurich_switzerland_wehrli_leo_wrote_what_the_stones_in_zurich_tell_us_in_1897,"Wehrli, Leo wrote 'What the stones in Zurich tell us' in 1897."
fact_place_place_zurich_switzerland_künzli_e_wrote_the_stones_of_the_quays_guide_through_the_quays_in_zurich_in_1898,"Künzli, E. wrote 'The stones of the quays' (Guide through the quays in Zurich) in 1898."
fact_place_place_zurich_switzerland_schinz_h_wrote_a_guide_to_the_botanical_garden_of_the_university_of_zurich_in_1908,"Schinz, H. wrote a guide to the botanical garden of the University of Zurich in 1908."
fact_date_date_1901_1901_1901_heim_alb_created_a_panorama_from_the_alcohol_free_spa_on_the_zurichberg_in_1901,"Heim, Alb. created a panorama from the alcohol-free spa on the Zurichberg in 1901."
fact_date_date_1907_1907_1907_annual_report_of_the_city_council_for_1907_was_published_in_zurich_in_1908,Annual report of the city council for 1907 was published in Zurich in 1908.
fact_date_date_1908_1908_1908_annual_report_of_the_city_council_for_1907_was_published_in_zurich_in_1908,Annual report of the city council for 1907 was published in Zurich in 1908.
fact_date_date_1908_1908_1908_schinz_h_wrote_a_guide_to_the_botanical_garden_of_the_university_of_zurich_in_1908,"Schinz, H. wrote a guide to the botanical garden of the University of Zurich in 1908."
fact_date_date_1905_1905_1905_commemorative_publication_for_the_50th_anniversary_of_the_polytechnic_was_published_in_zurich_in_1905,Commemorative publication for the 50th anniversary of the polytechnic was published in Zurich in 1905.
fact_date_date_1902_03_1902_1903_bär_e_wrote_about_the_women_s_monastery_st_verena_in_zurich_in_1902_03,"Bär, E. wrote about the women’s monastery St. Verena in Zurich in 1902/03."
fact_date_date_1897_1897_1897_wehrli_leo_wrote_what_the_stones_in_zurich_tell_us_in_1897,"Wehrli, Leo wrote 'What the stones in Zurich tell us' in 1897."
fact_date_date_1898_1898_1898_künzli_e_wrote_the_stones_of_the_quays_guide_through_the_quays_in_zurich_in_1898,"Künzli, E. wrote 'The stones of the quays' (Guide through the quays in Zurich) in 1898."
fact_place_place_zurich_switzerland_the_article_refers_to_zurich_canton,The article refers to Zurich (Canton).
fact_place_place_zurich_switzerland_the_city_of_zurich_had_150_703_inhabitants_according_to_the_federal_census_of_1900,"The city of Zurich had 150,703 inhabitants according to the federal census of 1900."
fact_place_place_zurich_switzerland_30_891_inhabitants_were_citizens_of_the_city_of_zurich,"30,891 inhabitants were citizens of the city of Zurich."
fact_place_place_zurich_switzerland_30_864_inhabitants_were_citizens_of_other_municipalities_in_the_canton_of_zurich,"30,864 inhabitants were citizens of other municipalities in the canton of Zurich."
fact_place_place_zurich_switzerland_45_187_inhabitants_were_citizens_of_other_cantons,"45,187 inhabitants were citizens of other cantons."
fact_place_place_zurich_switzerland_106_942_inhabitants_were_swiss_citizens_in_total,"106,942 inhabitants were Swiss citizens in total."
fact_place_place_zurich_switzerland_43_761_inhabitants_were_foreigners,"43,761 inhabitants were foreigners."
fact_place_place_zurich_switzerland_the_religious_distribution_included_102_794_protestants_43_655_catholics_2_713_israelites_and_1_541_others_or_unknown,"The religious distribution included 102,794 Protestants, 43,655 Catholics, 2,713 Israelites, and 1,541 others or unknown."
fact_place_place_zurich_switzerland_by_mother_tongue_140_803_spoke_german_2_586_french_5_100_italian_415_romansh_and_1_799_other_languages,"By mother tongue, 140,803 spoke German, 2,586 French, 5,100 Italian, 415 Romansh, and 1,799 other languages."
fact_place_place_zurich_switzerland_47_5_of_the_population_was_male_and_52_5_female,47.5% of the population was male and 52.5% female.
fact_date_date_1900_1900_1900_the_federal_census_of_1900_recorded_the_population_and_demographic_details_of_zurich,The federal census of 1900 recorded the population and demographic details of Zurich.
fact_place_place_zurich_switzerland_the_literature_gives_population_numbers_for_the_city_of_zurich_from_earlier_times,The literature gives population numbers for the city of Zurich from earlier times.
fact_place_place_zurich_switzerland_after_the_city_unification_in_1893_the_population_increased_rapidly,"After the city unification in 1893, the population increased rapidly."
fact_place_place_zurich_switzerland_the_economic_downturn_of_1899_1900_brought_a_period_of_decrease,The economic downturn of 1899/1900 brought a period of decrease.
fact_place_place_zurich_switzerland_since_1902_the_number_has_been_rising_again_albeit_more_slowly,"Since 1902, the number has been rising again, albeit more slowly."
fact_place_place_zurich_switzerland_the_estimated_population_at_the_end_of_1906_was_172_855,"The estimated population at the end of 1906 was 172,855."
fact_place_place_zurich_switzerland_the_estimated_population_at_the_end_of_1907_was_177_437,"The estimated population at the end of 1907 was 177,437."
fact_place_place_zurich_switzerland_the_estimated_population_at_the_end_of_1908_was_180_224,"The estimated population at the end of 1908 was 180,224."
fact_place_place_zurich_switzerland_the_actual_population_number_is_probably_1_000_to_2_000_lower_due_to_incomplete_deregistrations_especially_of_italian_migrant_workers,"The actual population number is probably 1,000 to 2,000 lower due to incomplete deregistrations, especially of Italian migrant workers."
fact_date_date_1893_1893_1893_after_the_city_unification_in_1893_the_population_increased_rapidly,"After the city unification in 1893, the population increased rapidly."
fact_date_date_1899_1900_1899_1900_the_economic_downturn_of_1899_1900_brought_a_period_of_decrease,The economic downturn of 1899/1900 brought a period of decrease.
fact_date_date_1902_1902_1902_since_1902_the_number_has_been_rising_again_albeit_more_slowly,"Since 1902, the number has been rising again, albeit more slowly."
fact_date_date_end_of_1906_1906_1906_the_estimated_population_at_the_end_of_1906_was_172_855,"The estimated population at the end of 1906 was 172,855."
fact_date_date_end_of_1907_1907_1907_the_estimated_population_at_the_end_of_1907_was_177_437,"The estimated population at the end of 1907 was 177,437."
fact_date_date_end_of_1908_1908_1908_the_estimated_population_at_the_end_of_1908_was_180_224,"The estimated population at the end of 1908 was 180,224."
fact_place_place_zurich_switzerland_the_residential_population_increased_by_4_582_persons_in_1907_in_zurich,"The residential population increased by 4,582 persons in 1907 in Zurich."
fact_place_place_zurich_switzerland_the_residential_population_increased_by_2_65_in_1907_in_zurich,The residential population increased by 2.65% in 1907 in Zurich.
fact_place_place_zurich_switzerland_if_the_increase_continues_evenly_the_population_should_reach_about_200_000_around_1912_or_1913_in_zurich,"If the increase continues evenly, the population should reach about 200,000 around 1912 or 1913 in Zurich."
fact_date_date_1907_1907_1907_the_residential_population_increased_by_4_582_persons_in_1907,"The residential population increased by 4,582 persons in 1907."
fact_date_date_1907_1907_1907_the_residential_population_increased_by_2_65_in_1907,The residential population increased by 2.65% in 1907.
fact_date_date_around_1912_or_1913_1912_1913_the_population_should_reach_about_200_000_around_1912_or_1913_if_the_increase_continues_evenly,"The population should reach about 200,000 around 1912 or 1913 if the increase continues evenly."
fact_place_place_zurich_switzerland_829_naturalized_persons_came_from_the_canton_of_zurich,829 naturalized persons came from the canton of Zurich.
fact_date_date_1907_1907_1907_number_of_births_was_4_921_in_1907,"Number of births was 4,921 in 1907."
fact_date_date_1907_1907_1907_number_of_deaths_was_2_710_in_1907,"Number of deaths was 2,710 in 1907."
fact_date_date_1907_1907_1907_number_of_marriages_was_1_674_in_1907,"Number of marriages was 1,674 in 1907."
fact_date_date_1907_1907_1907_number_of_divorces_was_212_in_1907,Number of divorces was 212 in 1907.
fact_date_date_1907_1907_1907_number_of_naturalizations_was_1_397_in_1907,"Number of naturalizations was 1,397 in 1907."
fact_place_place_zurich_switzerland_the_marriage_rate_in_zurich_fell_steadily_between_1898_and_1903_from_1_816_to_1_417_a_reduction_of_22,"The marriage rate in Zurich fell steadily between 1898 and 1903, from 1,816 to 1,417, a reduction of 22%."
fact_place_place_zurich_switzerland_the_surplus_of_births_in_zurich_was_2_702_in_1899_and_has_been_falling_continuously_since_1901,"The surplus of births in Zurich was 2,702 in 1899 and has been falling continuously since 1901."
fact_place_place_zurich_switzerland_in_1905_the_surplus_of_births_in_zurich_was_1_919_despite_the_rising_population,"In 1905, the surplus of births in Zurich was 1,919 despite the rising population."
fact_place_place_zurich_switzerland_in_1901_the_live_birth_rate_in_zurich_was_32_84_of_the_mid_year_population,"In 1901, the live birth rate in Zurich was 32.84‰ of the mid-year population."
fact_place_place_zurich_switzerland_in_1906_the_live_birth_rate_in_zurich_was_25_23_of_the_mid_year_population,"In 1906, the live birth rate in Zurich was 25.23‰ of the mid-year population."
fact_place_place_zurich_switzerland_in_1907_the_live_birth_rate_in_zurich_was_23_25_of_the_mid_year_population,"In 1907, the live birth rate in Zurich was 23.25‰ of the mid-year population."
fact_place_place_zurich_switzerland_mortality_in_zurich_declined_but_not_as_much_as_the_birth_rate,Mortality in Zurich declined but not as much as the birth rate.
fact_place_place_zurich_switzerland_in_1907_zurich_had_a_population_of_81_531_taxpayers,"In 1907, Zurich had a population of 81,531 taxpayers."
fact_place_place_zurich_switzerland_in_1907_only_1_678_taxpayers_in_zurich_declared_an_income_of_5_100_fr_and_more_including_cantonal_and_municipal_officials,"In 1907, only 1,678 taxpayers in Zurich declared an income of 5,100 Fr. and more, including cantonal and municipal officials."
fact_place_place_zurich_switzerland_in_1907_only_1_026_taxpayers_in_zurich_declared_an_income_over_6_100_fr,"In 1907, only 1,026 taxpayers in Zurich declared an income over 6,100 Fr."
fact_place_place_zurich_switzerland_in_1907_only_298_taxpayers_in_zurich_declared_an_income_over_10_100_fr,"In 1907, only 298 taxpayers in Zurich declared an income over 10,100 Fr."
fact_place_place_zurich_switzerland_in_1907_only_1_532_taxpayers_in_zurich_had_assets_over_100_000_fr,"In 1907, only 1,532 taxpayers in Zurich had assets over 100,000 Fr."
fact_date_date_1898_1898_1898_the_marriage_rate_in_zurich_in_1898_was_1_816,"The marriage rate in Zurich in 1898 was 1,816."
fact_date_date_1903_1903_1903_the_marriage_rate_in_zurich_in_1903_was_1_417,"The marriage rate in Zurich in 1903 was 1,417."
fact_date_date_1899_1899_1899_the_surplus_of_births_in_zurich_in_1899_was_2_702,"The surplus of births in Zurich in 1899 was 2,702."
fact_date_date_1901_1901_1901_the_surplus_of_births_in_zurich_began_falling_continuously_since_1901,The surplus of births in Zurich began falling continuously since 1901.
fact_date_date_1901_1901_1901_the_live_birth_rate_in_zurich_in_1901_was_32_84_of_the_mid_year_population,The live birth rate in Zurich in 1901 was 32.84‰ of the mid-year population.
fact_date_date_1905_1905_1905_the_surplus_of_births_in_zurich_in_1905_was_1_919_despite_the_rising_population,"The surplus of births in Zurich in 1905 was 1,919 despite the rising population."
fact_date_date_1906_1906_1906_the_live_birth_rate_in_zurich_in_1906_was_25_23_of_the_mid_year_population,The live birth rate in Zurich in 1906 was 25.23‰ of the mid-year population.
fact_date_date_1907_1907_1907_the_live_birth_rate_in_zurich_in_1907_was_23_25_of_the_mid_year_population,The live birth rate in Zurich in 1907 was 23.25‰ of the mid-year population.
fact_date_date_1907_1907_1907_in_1907_zurich_had_a_population_of_81_531_taxpayers,"In 1907, Zurich had a population of 81,531 taxpayers."
fact_date_date_1907_1907_1907_in_1907_only_1_678_taxpayers_in_zurich_declared_an_income_of_5_100_fr_and_more_including_cantonal_and_municipal_officials,"In 1907, only 1,678 taxpayers in Zurich declared an income of 5,100 Fr. and more, including cantonal and municipal officials."
fact_date_date_1907_1907_1907_in_1907_only_1_026_taxpayers_in_zurich_declared_an_income_over_6_100_fr,"In 1907, only 1,026 taxpayers in Zurich declared an income over 6,100 Fr."
fact_date_date_1907_1907_1907_in_1907_only_298_taxpayers_in_zurich_declared_an_income_over_10_100_fr,"In 1907, only 298 taxpayers in Zurich declared an income over 10,100 Fr."
fact_date_date_1907_1907_1907_in_1907_only_1_532_taxpayers_in_zurich_had_assets_over_100_000_fr,"In 1907, only 1,532 taxpayers in Zurich had assets over 100,000 Fr."
fact_place_place_resident_population_the_resident_population_is_referenced_in_the_context_of_zurich,The resident population is referenced in the context of Zurich.
fact_date_date_1906_1906_1906_the_mutation_amounts_arise_in_the_resident_population_corresponding_to_the_normal_year_1906,The mutation amounts arise in the resident population corresponding to the normal year 1906.
fact_place_place_zurich_switzerland_about_78_000_persons_moved_within_the_city,"About 78,000 persons moved within the city."
fact_place_place_zurich_switzerland_about_44_000_persons_moved_in_to_the_city,"About 44,000 persons moved in to the city."
fact_place_place_zurich_switzerland_about_40_700_persons_moved_out_of_the_city,"About 40,700 persons moved out of the city."
fact_place_place_zurich_switzerland_the_city_had_a_gain_of_3_300_persons_due_to_migration,"The city had a gain of 3,300 persons due to migration."
fact_place_place_zurich_switzerland_there_were_1_750_marriages_in_the_resident_population_of_the_city,"There were 1,750 marriages in the resident population of the city."
fact_place_place_zurich_switzerland_there_were_about_4_300_births_in_the_city,"There were about 4,300 births in the city."
fact_place_place_zurich_switzerland_there_were_about_2_550_deaths_in_the_city,"There were about 2,550 deaths in the city."
fact_place_place_zurich_switzerland_the_city_had_a_surplus_of_births_of_1_750_persons,"The city had a surplus of births of 1,750 persons."
fact_place_place_zurich_switzerland_the_annual_increase_in_population_was_5_050_persons,"The annual increase in population was 5,050 persons."
fact_place_place_zurich_switzerland_guests_staying_in_hotels_numbered_about_300_000_persons,"Guests staying in hotels numbered about 300,000 persons."
fact_place_place_cologne_germany_cologne_has_a_move_rate_of_44,Cologne has a move rate of 44%.
fact_place_place_wrocław_poland_breslau_has_a_move_rate_of_49,Breslau has a move rate of 49%.
fact_place_place_dresden_germany_dresden_has_a_move_rate_of_28,Dresden has a move rate of 28%.
fact_place_place_nuremberg_germany_nuremberg_has_a_move_rate_of_36,Nuremberg has a move rate of 36%.
fact_place_place_district_i_district_i_had_29_500_inhabitants_in_1895,"District I had 29,500 inhabitants in 1895."
fact_place_place_district_i_district_i_had_25_900_inhabitants_at_the_end_of_1900,"District I had 25,900 inhabitants at the end of 1900."
fact_place_place_district_i_district_i_had_20_000_inhabitants_in_1906_the_same_as_early_as_1860,"District I had 20,000 inhabitants in 1906, the same as early as 1860."
fact_date_date_1895_1895_1895_district_i_had_29_500_inhabitants_in_1895,"District I had 29,500 inhabitants in 1895."
fact_date_date_end_of_1900_1900_1900_district_i_had_25_900_inhabitants_at_the_end_of_1900,"District I had 25,900 inhabitants at the end of 1900."
fact_date_date_1906_1906_1906_district_i_had_20_000_inhabitants_in_1906_the_same_as_early_as_1860,"District I had 20,000 inhabitants in 1906, the same as early as 1860."
fact_date_date_early_as_1860_1860_1860_district_i_had_20_000_inhabitants_in_1906_the_same_as_early_as_1860,"District I had 20,000 inhabitants in 1906, the same as early as 1860."
fact_date_date_1893_1893_1893_immigration_amounted_to_27_100_persons_in_1893,"Immigration amounted to 27,100 persons in 1893."
fact_date_date_1905_1905_1905_immigration_amounted_to_40_300_persons_in_1905,"Immigration amounted to 40,300 persons in 1905."
fact_place_place_zurich_switzerland_the_year_1908_showed_a_migration_gain_of_only_913_persons_in_zurich,The year 1908 showed a migration gain of only 913 persons in Zurich.
fact_place_place_zurich_switzerland_immigration_in_zurich_in_1908_was_45_403_persons,"Immigration in Zurich in 1908 was 45,403 persons."
fact_place_place_zurich_switzerland_emigration_in_zurich_in_1908_was_44_490_persons,"Emigration in Zurich in 1908 was 44,490 persons."
fact_place_place_zurich_switzerland_italian_immigration_to_zurich_fell_from_8_200_in_1907_to_7_100_in_1908,"Italian immigration to Zurich fell from 8,200 in 1907 to 7,100 in 1908."
fact_place_place_zurich_switzerland_the_number_of_marriages_in_zurich_in_1908_was_1_877_the_maximum_since_1893,"The number of marriages in Zurich in 1908 was 1,877, the maximum since 1893."
fact_date_date_1908_1908_1908_the_year_1908_showed_a_migration_gain_of_only_913_persons,The year 1908 showed a migration gain of only 913 persons.
fact_date_date_1908_1908_1908_immigration_was_45_403_and_emigration_was_44_490_in_1908,"Immigration was 45,403 and emigration was 44,490 in 1908."
fact_date_date_1908_1908_1908_italian_immigration_fell_to_7_100_in_1908,"Italian immigration fell to 7,100 in 1908."
fact_date_date_1908_1908_1908_number_of_marriages_was_1_877_in_1908,"Number of marriages was 1,877 in 1908."
fact_date_date_1907_1907_1907_migration_gain_in_1907_was_2_735,"Migration gain in 1907 was 2,735."
fact_date_date_1907_1907_1907_italian_immigration_was_8_200_in_1907,"Italian immigration was 8,200 in 1907."
fact_date_date_1902_1902_1902_the_migration_gain_in_1908_was_never_so_low_since_1902,The migration gain in 1908 was never so low since 1902.
fact_date_date_1893_1893_1893_the_number_of_marriages_in_1908_was_the_maximum_since_1893,The number of marriages in 1908 was the maximum since 1893.
fact_place_place_zurich_switzerland_the_city_citizen_population_has_been_in_significant_decline_for_years_due_to_excess_deaths,The city-citizen population has been in significant decline for years due to excess deaths.
fact_place_place_zurich_switzerland_foreigners_have_predominated_in_the_still_remaining_birth_surplus_in_recent_years,Foreigners have predominated in the still remaining birth surplus in recent years.
fact_date_date_1901_1901_1901_for_the_first_time_since_1901_the_number_of_births_increased_to_4_246,"For the first time since 1901, the number of births increased to 4,246."
fact_date_date_1907_1907_1907_in_1907_foreigners_made_up_53_4_of_the_birth_surplus,"In 1907, foreigners made up 53.4% of the birth surplus."
fact_place_place_zurich_switzerland_zurich_received_40_289_immigrants_in_1905,"Zurich received 40,289 immigrants in 1905."
fact_place_place_zurich_switzerland_of_the_immigrants_in_zurich_in_1905_21_711_were_foreigners,"Of the immigrants in Zurich in 1905, 21,711 were foreigners."
fact_place_place_zurich_switzerland_half_of_the_foreigners_in_zurich_in_1905_were_germans,Half of the foreigners in Zurich in 1905 were Germans.
fact_place_place_zurich_switzerland_a_quarter_of_the_foreigners_in_zurich_in_1905_were_italians,A quarter of the foreigners in Zurich in 1905 were Italians.
fact_place_place_zurich_switzerland_a_quarter_of_the_foreigners_in_zurich_in_1905_were_from_austria_russia_france_etc,"A quarter of the foreigners in Zurich in 1905 were from Austria, Russia, France, etc."
fact_place_place_zurich_switzerland_42_5_of_all_immigrants_came_directly_from_abroad_to_zurich,42.5% of all immigrants came directly from abroad to Zurich.
fact_place_place_zurich_switzerland_of_those_coming_from_other_swiss_locations_to_zurich_30_were_foreigners,"Of those coming from other Swiss locations to Zurich, 30% were foreigners."
fact_place_place_zurich_switzerland_16_of_all_immigrants_in_zurich_in_1905_were_dependents,16% of all immigrants in Zurich in 1905 were dependents.
fact_place_place_zurich_switzerland_84_of_all_immigrants_in_zurich_in_1905_were_self_employed,84% of all immigrants in Zurich in 1905 were self-employed.
fact_place_place_zurich_switzerland_more_than_80_of_all_immigrants_moved_for_economic_reasons,More than 80% of all immigrants moved for economic reasons.
fact_place_place_zurich_switzerland_in_1905_34_1_of_all_immigrants_to_zurich_came_from_a_distance_of_up_to_50_kilometers,"In 1905, 34.1% of all immigrants to Zurich came from a distance of up to 50 kilometers."
fact_place_place_zurich_switzerland_in_1905_25_of_immigrants_from_up_to_50_kilometers_came_from_at_most_10_km,"In 1905, 25% of immigrants from up to 50 kilometers came from at most 10 km."
fact_place_place_zurich_switzerland_in_1905_19_5_of_all_immigrants_to_zurich_came_from_50_100_km_distance,"In 1905, 19.5% of all immigrants to Zurich came from 50–100 km distance."
fact_place_place_zurich_switzerland_in_1905_23_1_of_all_immigrants_to_zurich_came_from_over_300_km_distance,"In 1905, 23.1% of all immigrants to Zurich came from over 300 km distance."
fact_date_date_1905_1905_1905_in_1905_zurich_had_40_289_immigrants,"In 1905, Zurich had 40,289 immigrants."
fact_date_date_1905_1905_1905_in_1905_21_711_of_the_immigrants_in_zurich_were_foreigners,"In 1905, 21,711 of the immigrants in Zurich were foreigners."
fact_date_date_1905_1905_1905_in_1905_34_1_of_all_immigrants_to_zurich_came_from_a_distance_of_up_to_50_kilometers,"In 1905, 34.1% of all immigrants to Zurich came from a distance of up to 50 kilometers."
fact_date_date_1905_1905_1905_in_1905_19_5_of_all_immigrants_to_zurich_came_from_50_100_km_distance,"In 1905, 19.5% of all immigrants to Zurich came from 50–100 km distance."
fact_date_date_1905_1905_1905_in_1905_23_1_of_all_immigrants_to_zurich_came_from_over_300_km_distance,"In 1905, 23.1% of all immigrants to Zurich came from over 300 km distance."
fact_date_date_1905_1905_1905_in_1905_16_of_all_immigrants_in_zurich_were_dependents,"In 1905, 16% of all immigrants in Zurich were dependents."
fact_date_date_1905_1905_1905_in_1905_84_of_all_immigrants_in_zurich_were_self_employed,"In 1905, 84% of all immigrants in Zurich were self-employed."
fact_place_place_zurich_switzerland_zurich_is_mentioned_in_the_context_of_gemüsemarkt_and_st_peter_s_church,Zurich is mentioned in the context of Gemüsemarkt and St. Peter's Church.
fact_place_place_gemüsemarkt_gemüsemarkt_is_a_location_in_zurich,Gemüsemarkt is a location in Zurich.
fact_place_place_st_peter_s_church_st_peter_s_church_is_a_location_in_zurich,St. Peter's Church is a location in Zurich.
fact_place_place_inner_city_in_the_inner_city_more_and_more_former_apartments_are_being_converted_into_department_stores_and_offices,"In the inner city, more and more former apartments are being converted into department stores and offices."
fact_place_place_outer_districts_there_is_lively_construction_activity_in_the_outer_districts_which_is_often_interrupted_by_strikes,"There is lively construction activity in the outer districts, which is often interrupted by strikes."
fact_place_place_zurich_switzerland_zurich_marches_near_the_top_of_swiss_cities_in_terms_of_average_room_price,Zurich marches near the top of Swiss cities in terms of average room price.
fact_date_date_1906_07_1906_1907_the_average_room_price_was_279_fr_in_1906_07,The average room price was 279 Fr. in 1906/07.
fact_place_place_zurich_switzerland_the_city_has_established_an_official_municipal_housing_register_since_june_1906,The city has established an official municipal housing register since June 1906.
fact_place_place_zurich_switzerland_the_city_builds_its_own_apartment_blocks,The city builds its own apartment blocks.
fact_place_place_zurich_switzerland_in_1907_a_total_of_213_new_buildings_were_built_with_696_apartments_and_insured_for_17_4_million_fr,"In 1907, a total of 213 new buildings were built with 696 apartments and insured for 17.4 million Fr."
fact_place_place_zurich_switzerland_in_1907_zurich_counted_14_641_buildings,"In 1907, Zurich counted 14,641 buildings."
fact_place_place_zurich_switzerland_750_buildings_have_been_added_since_1899,750 buildings have been added since 1899.
fact_date_date_june_1906_1906_1906_the_official_municipal_housing_register_has_been_in_operation_since_june_1906,The official municipal housing register has been in operation since June 1906.
fact_date_date_1907_1907_1907_in_1907_a_total_of_213_new_buildings_were_built_with_696_apartments_and_insured_for_17_4_million_fr,"In 1907, a total of 213 new buildings were built with 696 apartments and insured for 17.4 million Fr."
fact_date_date_1907_1907_1907_in_1907_zurich_counted_14_641_buildings,"In 1907, Zurich counted 14,641 buildings."
fact_date_date_since_1899_1899_1907_750_buildings_have_been_added_since_1899,750 buildings have been added since 1899.
fact_place_place_zurich_switzerland_since_the_general_removal_of_the_old_ramparts_and_leveling_of_their_ditches_in_1833_the_structural_development_of_the_city_has_thrived,"Since the general removal of the old ramparts and leveling of their ditches in 1833, the structural development of the city has thrived."
fact_place_place_zurich_switzerland_especially_through_the_city_unification_in_1893_it_took_a_tremendous_upswing,"Especially through the city unification in 1893, it took a tremendous upswing."
fact_place_place_zurich_switzerland_a_new_building_law_for_localities_with_urban_conditions_1893_requires_greater_distance_of_houses_from_neighboring_plots_3_5_m,A new building law for localities with urban conditions (1893) requires greater distance of houses from neighboring plots (3.5 m).
fact_place_place_zurich_switzerland_previously_everyone_built_more_or_less_for_themselves_as_they_liked,"Previously, everyone built more or less for themselves as they liked."
fact_place_place_zurich_switzerland_in_1770_houses_were_on_average_2½_storeys_high,"In 1770, houses were on average 2½ storeys high."
fact_date_date_1833_1833_1833_since_the_general_removal_of_the_old_ramparts_and_leveling_of_their_ditches_in_1833_the_structural_development_of_the_city_has_thrived,"Since the general removal of the old ramparts and leveling of their ditches in 1833, the structural development of the city has thrived."
fact_date_date_1893_1893_1893_especially_through_the_city_unification_in_1893_it_took_a_tremendous_upswing,"Especially through the city unification in 1893, it took a tremendous upswing."
fact_date_date_1893_1893_1893_a_new_building_law_for_localities_with_urban_conditions_1893_requires_greater_distance_of_houses_from_neighboring_plots_3_5_m,A new building law for localities with urban conditions (1893) requires greater distance of houses from neighboring plots (3.5 m).
fact_date_date_1770_1770_1770_in_1770_houses_were_on_average_2½_storeys_high,"In 1770, houses were on average 2½ storeys high."
fact_place_place_zurich_switzerland_the_new_building_law_in_zurich_no_longer_allows_the_6th_residential_floor_and_requires_a_minimum_height_of_2_5_m_for_living_rooms,The new building law in Zurich no longer allows the 6th residential floor and requires a minimum height of 2.5 m for living rooms.
fact_place_place_zurich_switzerland_in_zurich_regulations_for_open_development_of_large_districts_were_added_in_1901,"In Zurich, regulations for open development of large districts were added in 1901."
fact_place_place_zurich_switzerland_before_1900_in_zurich_single_family_houses_were_only_7_6_of_all_residential_buildings,"Before 1900 in Zurich, single-family houses were only 7.6% of all residential buildings."
fact_place_place_zurich_switzerland_after_1900_in_zurich_single_family_houses_increased_to_19_8_of_all_residential_buildings,"After 1900 in Zurich, single-family houses increased to 19.8% of all residential buildings."
fact_place_place_zurich_switzerland_around_1900_in_zurich_a_construction_and_real_estate_crisis_appeared,"Around 1900 in Zurich, a construction and real estate crisis appeared."
fact_date_date_1901_1901_1901_in_1901_regulations_for_open_development_of_large_districts_were_added,"In 1901, regulations for open development of large districts were added."
fact_date_date_before_1900_none_1899_before_1900_single_family_houses_were_only_7_6_of_all_residential_buildings,"Before 1900, single-family houses were only 7.6% of all residential buildings."
fact_date_date_afterwards_1900_none_after_1900_single_family_houses_increased_to_19_8_of_all_residential_buildings,"After 1900, single-family houses increased to 19.8% of all residential buildings."
fact_date_date_around_1900_1895_1905_around_1900_a_construction_and_real_estate_crisis_appeared,"Around 1900, a construction and real estate crisis appeared."
fact_place_place_zurich_switzerland_zurich_today_has_its_current_territorial_extent,Zurich today has its current territorial extent.
